Lat,Lon,Hour,Holiday
40.7262,-74.0057,19,0
40.7386,-73.9975,15,0
40.7636,-73.9672,8,1
40.7464,-73.9833,17,0
40.7558,-73.9779,13,0
40.7688,-73.8624,17,0
40.7507,-74.0021,15,0
40.6483,-73.7827,18,0
40.7134,-74.0094,11,0
40.7603,-73.9821,16,1
40.7033,-73.9908,15,0
40.7635,-73.9694,20,0
40.7405,-74.0057,22,0
40.7752,-73.9804,8,0
40.6417,-73.789,20,0
40.7642,-73.9749,18,0
40.7103,-73.9509,21,1
40.7613,-73.9827,18,0
40.764,-73.9711,16,0
40.7555,-73.9729,6,0
40.7134,-73.9916,9,0
40.7661,-73.956,16,0
40.7198,-73.9623,7,0
40.7819,-73.9572,13,0
40.7568,-73.9848,18,0
40.7394,-73.9939,15,0
40.7441,-73.9877,18,0
40.7195,-74.0104,12,0
40.7388,-73.9958,22,1
40.7247,-73.9919,15,0
40.7213,-74.0099,18,0
40.7585,-73.9723,18,0
40.755,-73.9878,22,0
40.7246,-74.0078,17,0
40.7441,-73.984,16,1
40.7471,-73.9853,15,0
40.8062,-73.9477,4,0
40.7354,-74.009,14,1
40.7275,-74.0072,16,0
40.7219,-73.9963,1,0
40.7155,-74.012,17,0
40.7926,-73.9751,0,1
40.7686,-73.8625,22,0
40.734,-73.987,14,0
40.7411,-73.9961,15,0
40.7273,-73.9952,18,0
40.7341,-73.9885,13,0
40.7339,-73.9996,0,1
40.7641,-73.9735,14,0
40.6415,-73.7888,19,0
40.7337,-74.0017,7,0
40.7359,-73.9748,14,0
40.7747,-73.9508,9,0
40.7376,-74.0081,21,0
40.7606,-73.9742,16,0
40.749,-73.9842,18,0
40.6899,-73.98,10,1
40.7341,-73.9932,17,0
40.7149,-74.0071,8,1
40.7293,-73.9981,10,1
40.8072,-73.954,21,1
40.7447,-74.0064,3,1
40.7417,-73.9781,4,0
40.7433,-74.008,20,0
40.6448,-73.7822,15,0
40.7253,-74.0021,21,1
40.6458,-73.7767,18,1
40.7678,-73.9834,12,0
40.7557,-73.9792,20,0
40.7871,-73.9563,16,1
40.7426,-74.0071,19,0
40.722,-73.9962,17,0
40.782,-73.9575,1,1
40.7607,-73.9863,19,0
40.713,-73.9864,4,1
40.7371,-73.983,17,0
40.725,-73.9953,0,1
40.6752,-73.9883,16,0
40.7741,-73.9489,4,0
40.7673,-73.9961,23,0
40.7028,-74.01100000000001,0,1
40.7154,-73.9496,7,0
40.7541,-73.9939,16,0
40.8078,-73.9603,16,1
40.7392,-74.1669,19,1
40.781,-73.9761,11,0
40.6688,-73.9506,17,0
40.7474,-73.9121,12,1
40.7126,-73.9569,21,1
40.7337,-74.0085,19,1
40.7367,-74.0065,10,1
40.7314,-73.9869,14,0
40.768,-73.9682,15,0
40.7199,-74.0034,13,0
40.7956,-73.973,7,0
40.7352,-73.9878,6,0
40.6954,-73.9484,20,0
40.7235,-73.9762,18,1
40.7266,-73.9916,0,0
40.8307,-73.923,21,0
40.6463,-73.7769,16,0
40.6878,-74.1815,5,1
40.7305,-73.9586,11,1
40.7436,-73.9808,17,1
40.73,-73.9854,18,0
40.7326,-73.9931,14,1
40.7576,-73.9892,10,0
40.7581,-73.9897,14,1
40.6921,-73.9842,17,0
40.6758,-73.9809,8,0
40.6419,-73.7888,13,0
40.7564,-73.9788,19,0
40.6466,-73.7895,17,1
40.7787,-73.9618,6,0
40.6795,-73.9605,10,0
40.7297,-73.9884,14,0
40.7674,-73.9666,7,0
40.7168,-73.6019,13,0
40.7467,-73.992,18,1
40.7524,-73.9901,17,0
40.7198,-73.9857,3,1
40.7325,-73.9993,18,0
40.7741,-73.8723,16,0
40.7739,-73.9586,16,1
40.7558,-73.984,9,0
40.7415,-73.9989,12,0
40.7313,-74.0041,3,0
40.7053,-74.0174,14,1
40.7787,-73.9781,3,0
40.7716,-73.9472,16,0
40.7364,-73.9886,22,1
40.7589,-73.9723,19,0
40.6724,-73.9859,4,0
40.7914,-73.9755,15,0
40.7564,-73.9741,14,1
40.7584,-73.9725,18,0
40.7028,-73.9907,17,0
40.7801,-73.98100000000001,19,1
40.751999999999995,-73.9757,16,0
40.7553,-73.9657,18,0
40.7356,-73.9928,14,0
40.7323,-74.0076,18,1
40.7688,-73.9624,15,0
40.743,-74.008,0,1
40.7322,-74.0077,10,1
40.6824,-73.9879,14,1
40.7282,-73.9938,8,0
40.6733,-73.9788,7,0
40.7731,-73.8855,15,0
40.7296,-74.0008,1,0
40.7226,-73.9979,19,1
40.7513,-73.9978,16,1
40.7558,-73.9712,15,0
40.7161,-74.015,17,0
40.7545,-73.9793,20,0
40.7816,-73.9527,7,0
40.7147,-73.9495,16,0
40.7693,-73.952,14,0
40.7648,-73.9809,8,0
40.6907,-73.9724,21,0
40.7819,-73.9774,9,0
40.7174,-74.016,3,0
40.7259,-73.9887,19,0
40.7895,-73.8409,5,0
40.7092,-73.7974,6,0
40.7602,-73.9763,15,0
40.7274,-73.9954,22,0
40.7208,-74.0106,10,0
40.7602,-73.9819,11,0
40.7753,-73.9598,7,1
40.787,-73.9495,22,0
40.7806,-73.9589,20,0
40.7629,-73.982,16,0
40.763000000000005,-73.9789,16,0
40.7134,-74.0406,4,0
40.7454,-73.9946,12,0
40.7644,-73.9703,14,0
40.8111,-73.9513,18,1
40.7423,-74.0042,5,0
40.7291,-73.9814,22,1
40.7622,-73.982,23,0
40.7578,-73.9856,19,0
40.7627,-73.9772,19,1
40.7416,-73.9936,15,0
40.7503,-73.9734,9,0
40.7168,-74.0058,8,0
40.8184,-73.9432,15,0
40.7502,-73.9781,11,0
40.7337,-73.9978,22,0
40.6328,-73.8878,18,1
40.7608,-73.9714,17,0
40.7572,-73.9798,17,0
40.7426,-73.9997,11,1
40.7334,-74.0048,13,0
40.645,-73.7811,18,1
40.6937,-73.964,22,0
40.7602,-73.9849,21,0
40.7328,-73.9975,21,1
40.7058,-74.0097,20,0
40.7204,-73.998,19,0
40.7292,-74.0023,14,1
40.7308,-73.9855,22,0
40.8047,-73.9664,19,1
40.7642,-73.9773,15,0
40.6914,-73.9655,9,1
40.7464,-74.0088,6,0
40.7843,-73.9549,12,0
40.7251,-74.0085,18,1
40.7603,-73.9801,19,0
40.754,-73.9742,12,0
40.7398,-73.9893,15,0
40.6985,-73.9676,16,0
40.7644,-73.9733,16,0
40.7474,-73.9912,11,1
40.7448,-74.0063,14,0
40.7246,-74.0101,18,0
40.7793,-73.9473,6,0
40.6516,-73.8893,13,1
40.7815,-73.9811,11,0
40.7207,-73.9802,17,0
40.7382,-73.9881,13,0
40.7377,-73.9851,12,0
40.7189,-74.005,10,0
40.735,-73.9919,7,0
40.714,-73.9597,8,0
40.7637,-73.9814,15,0
40.7731,-73.8859,19,0
40.7275,-73.9939,1,1
40.6717,-73.9909,12,0
40.763000000000005,-73.9819,0,0
40.7221,-73.9963,0,1
40.7772,-73.9781,5,0
40.7512,-73.9853,16,0
40.7562,-73.9726,18,0
40.7195,-74.0086,20,0
40.7637,-73.9753,19,0
40.715,-73.9834,13,1
40.7612,-73.9773,17,0
40.7477,-73.9851,16,0
40.7782,-73.9629,22,1
40.7254,-73.9928,21,1
40.7311,-73.9952,19,0
40.7451,-73.9769,17,0
40.7219,-74.0041,19,0
40.7371,-74.0076,16,0
40.6896,-73.992,13,1
40.7677,-73.9674,21,1
40.7177,-73.9799,19,1
40.7533,-73.9837,18,1
40.7182,-73.9573,19,1
40.7247,-74.0024,23,0
40.7557,-73.986,16,0
40.7882,-73.9766,9,0
40.7631,-73.9782,15,0
40.7439,-74.0063,2,1
40.6428,-73.7889,19,1
40.6825,-73.9569,7,0
40.764,-73.9691,20,0
40.7285,-73.9907,15,0
40.736,-73.9995,20,0
40.7667,-73.9818,18,0
40.7325,-73.9952,6,0
40.7427,-74.0041,17,0
40.7697,-73.9807,18,1
40.7299,-74.0006,1,1
40.7751,-73.9823,12,1
40.7549,-73.9724,3,0
40.7447,-73.9832,10,0
40.7859,-73.9749,14,0
40.7077,-74.0146,3,1
40.7522,-73.9704,17,1
40.7999,-73.9683,18,0
40.7438,-73.9888,22,0
40.7651,-73.9782,5,0
40.648,-74.0072,6,0
40.7601,-73.9722,8,0
40.7633,-73.977,21,0
40.6913,-73.9447,7,0
40.6832,-73.9468,9,1
40.672,-73.9531,18,0
40.7382,-73.9878,19,0
40.7194,-73.9869,7,1
40.7619,-73.9726,20,0
40.7184,-73.9986,9,0
40.7835,-73.9513,7,0
40.7384,-74.2802,10,0
40.7216,-73.9975,20,0
40.7483,-73.9882,7,0
40.7567,-73.983,9,0
40.7855,-73.9777,17,1
40.7241,-73.9935,12,1
40.76,-73.9922,18,0
40.8468,-73.9424,11,0
40.7738,-73.8719,18,0
40.7139,-74.0118,14,0
40.7647,-73.9811,10,0
40.7465,-74.0086,20,0
40.7693,-73.9812,18,0
40.6722,-73.9642,7,1
40.7386,-73.9874,9,0
40.7387,-73.9959,4,0
40.7426,-73.99,14,0
40.7373,-73.9947,5,0
40.7318,-73.9946,21,1
40.6682,-73.9825,20,1
40.7223,-73.9867,0,1
40.7448,-73.9988,21,0
40.7607,-73.9861,9,0
40.6461,-73.7769,17,0
40.7204,-73.9882,0,0
40.7499,-73.9794,16,0
40.7603,-73.9598,14,0
40.7154,-73.9916,19,0
40.7644,-73.9958,7,0
40.7607,-73.9798,17,0
40.7426,-74.0071,16,0
40.751999999999995,-73.9812,13,0
40.7471,-73.9897,11,0
40.7757,-73.984,22,0
40.7383,-74.0056,18,0
40.7732,-73.8857,11,0
40.7126,-73.985,17,0
40.7315,-73.9928,23,0
40.7292,-74.0024,15,1
40.7355,-74.0061,10,1
40.7705,-73.9904,18,1
40.7108,-73.9448,19,0
40.7177,-73.9588,1,0
40.7603,-73.9868,15,1
40.7195,-74.0001,10,0
40.7257,-73.9848,21,0
40.8083,-73.9663,8,0
40.7567,-73.9832,12,0
40.7326,-74.0099,21,0
40.7494,-73.9923,10,0
40.7129,-73.9514,0,0
40.7719,-73.9634,18,1
40.7075,-74.0012,19,0
40.7346,-74.1653,2,0
40.7051,-74.0076,13,0
40.7409,-73.986,12,0
40.7685,-73.9678,15,0
40.7382,-73.9857,14,1
40.7351,-74.0019,17,0
40.7234,-74.0029,23,0
40.7751,-73.9792,9,0
40.7178,-73.9927,0,1
40.7343,-74.0026,22,0
40.756,-73.9652,6,0
40.7287,-74.0362,21,0
40.7681,-73.9923,13,1
40.7302,-73.9778,11,0
40.760999999999996,-73.9685,14,0
40.6823,-73.9872,10,0
40.7491,-73.98899999999999,21,1
40.7348,-73.9863,16,0
40.7237,-74.0036,19,0
40.7375,-74.0317,1,1
40.7403,-73.9905,19,0
40.8078,-73.9475,20,0
40.6614,-73.9415,2,1
40.7643,-73.9633,8,0
40.7494,-74.0043,20,0
40.759,-73.9943,18,0
40.6845,-73.9458,7,1
40.7552,-73.9698,20,0
40.7445,-73.9916,7,0
40.7552,-73.9829,16,0
40.7255,-73.997,16,1
40.7497,-73.945,10,0
40.7198,-74.0072,23,0
40.7396,-73.9807,7,1
40.7651,-73.9782,15,0
40.7162,-73.9624,1,0
40.7236,-73.9963,12,0
40.7173,-74.0161,5,1
40.7377,-73.9923,17,0
40.7137,-74.0118,17,0
40.7621,-73.9974,13,0
40.7803,-73.9597,6,0
40.756,-73.9903,12,0
40.7039,-73.9898,14,1
40.7347,-73.9883,22,0
40.7722,-73.9669,6,0
40.7293,-74.0023,15,0
40.763000000000005,-73.9937,2,0
40.7504,-73.9854,10,0
40.7397,-74.0066,20,0
40.7773,-73.98899999999999,18,0
40.7053,-74.0119,6,0
40.7076,-74.0025,7,1
40.7366,-74.001,16,1
40.7252,-73.9969,14,0
40.7327,-73.9859,23,0
40.7191,-74.0103,21,0
40.7788,-73.9884,7,0
40.7391,-74.0009,1,1
40.758,-73.9187,15,1
40.7619,-73.9826,8,0
40.7426,-74.0043,23,0
40.7608,-73.9909,21,1
40.7201,-74.0101,12,0
40.7565,-73.9978,16,0
40.7485,-73.9393,19,0
40.745,-74.0024,12,0
40.7384,-73.9933,21,1
40.7147,-73.9971,18,1
40.722,-73.9964,1,1
40.7346,-74.0048,23,0
40.7614,-73.9998,22,1
40.684,-73.9814,9,0
40.7645,-73.9734,8,1
40.7376,-74.0036,10,0
40.7738,-73.874,21,0
40.6546,-73.9129,9,0
40.7516,-73.8859,3,0
40.7614,-73.9637,13,0
40.7562,-73.9675,0,1
40.7752,-73.965,16,0
40.7175,-74.0108,11,1
40.7245,-74.0029,15,0
40.7684,-73.9806,13,0
40.7399,-74.0066,14,0
40.7759,-73.9877,7,0
40.7299,-73.9792,7,0
40.7545,-73.9751,20,0
40.7447,-73.9949,7,0
40.7552,-73.988,13,0
40.7419,-74.0035,19,0
40.687,-73.9572,20,1
40.7579,-73.9715,15,0
40.7033,-73.9342,15,1
40.7256,-73.9969,16,0
40.7655,-73.9181,20,1
40.7199,-74.01100000000001,23,0
40.7405,-73.9726,19,1
40.7471,-73.9882,13,0
40.7216,-73.9876,19,0
40.7563,-73.9778,16,0
40.7332,-73.9986,23,1
40.7564,-73.9869,20,0
40.689,-73.9262,14,1
40.6872,-73.9935,17,0
40.7406,-73.986,10,0
40.7597,-73.9843,8,0
40.7599,-73.9804,16,0
40.7178,-73.9546,20,0
40.7223,-73.9932,1,0
40.7596,-73.9812,19,0
40.756,-73.9751,18,0
40.7487,-74.0082,17,0
40.7435,-73.9885,19,1
40.7674,-73.9594,19,0
40.7676,-73.9705,7,0
40.7303,-73.9759,9,0
40.7684,-73.8623,12,1
40.7482,-74.0,19,1
40.7088,-74.0145,21,0
40.7573,-73.9824,13,0
40.7343,-74.0046,23,1
40.7512,-73.9795,18,0
40.7231,-73.9975,19,0
40.7601,-73.972,15,0
40.7524,-73.9933,12,0
40.7707,-73.8656,21,0
40.7254,-74.5362,11,0
40.751,-74.0057,16,0
40.7554,-73.9751,13,0
40.8427,-73.8362,5,0
40.7474,-73.9813,18,1
40.7446,-73.9912,16,0
40.7251,-73.994,6,0
40.7519,-73.9758,17,0
40.7297,-73.9951,13,0
40.7524,-73.9918,17,0
40.7537,-73.9774,22,0
40.7346,-74.1649,13,1
40.7518,-73.98,9,0
40.7193,-73.9615,23,0
40.6952,-73.9723,3,1
40.7045,-74.0121,20,1
40.7396,-73.9931,23,0
40.7513,-73.9941,9,0
40.7614,-73.9703,17,0
40.7311,-73.9952,21,1
40.7884,-73.9671,8,0
40.7399,-73.9794,6,0
40.7289,-73.9763,19,0
40.728,-74.0072,15,0
40.7772,-73.9752,11,0
40.7281,-74.042,21,0
40.7748,-73.9564,20,1
40.8158,-73.9237,13,1
40.7439,-73.98899999999999,21,0
40.7432,-73.97800000000001,12,1
40.7166,-74.0086,21,0
40.7362,-73.9962,17,0
40.7447,-73.9793,18,0
40.7398,-73.9928,21,1
40.74,-73.995,17,1
40.7319,-73.9895,1,1
40.6591,-73.8036,0,1
40.7482,-73.9711,12,0
40.7286,-74.0053,22,0
40.7566,-73.9828,21,0
40.7598,-73.9842,8,1
40.7834,-73.9547,16,0
40.7682,-73.957,17,0
40.7591,-73.9861,21,1
40.6771,-73.9917,8,1
40.7751,-73.9823,11,1
40.7354,-73.9899,15,1
40.7313,-73.9519,20,0
40.7043,-74.0092,17,1
40.7549,-73.9774,17,0
40.7595,-73.9853,18,0
40.7348,-74.0,23,1
40.7366,-73.9953,18,0
40.7707,-73.9564,4,1
40.744,-73.98899999999999,18,0
40.7386,-73.9977,8,0
40.7365,-74.0421,13,1
40.7499,-73.9726,14,0
40.7668,-73.9694,10,0
40.6899,-73.9803,13,1
40.7858,-73.9724,8,0
40.7454,-73.9944,16,0
40.7168,-74.0142,7,0
40.7635,-73.9796,22,0
40.7256,-73.9898,8,0
40.7309,-73.9829,6,0
40.7622,-73.9726,0,0
40.7127,-74.0405,2,0
40.7654,-73.9818,15,0
40.7642,-73.9593,6,0
40.7833,-73.9528,15,0
40.7378,-73.9882,20,0
40.7849,-73.9485,11,0
40.7686,-73.8625,17,0
40.7381,-74.0091,2,1
40.751,-73.9876,17,0
40.7846,-74.0447,0,0
40.7487,-74.0082,11,0
40.7396,-73.9926,13,0
40.7275,-73.9571,10,0
40.7428,-74.0039,16,0
40.6922,-73.9042,13,1
40.7563,-73.9145,20,1
40.7469,-73.9788,0,0
40.7497,-73.9752,19,0
40.7461,-73.9926,7,0
40.6972,-73.9774,8,0
40.729,-73.9865,11,1
40.7271,-74.0474,16,0
40.7105,-73.9662,2,1
40.7368,-73.986,8,0
40.7519,-73.9836,14,0
40.7072,-73.9545,21,0
40.7448,-73.98,14,0
40.759,-73.9728,2,0
40.7756,-73.9563,8,0
40.7582,-73.9652,22,0
40.7065,-74.014,16,0
40.751999999999995,-73.9894,16,0
40.7686,-73.8627,9,0
40.7227,-74.0044,19,0
40.7292,-73.8935,11,0
40.7302,-73.9865,20,0
40.6932,-73.9559,17,0
40.7635,-73.9793,20,1
40.7286,-73.99,21,0
40.645,-73.782,6,0
40.7427,-73.9962,20,0
40.8011,-73.9539,6,0
40.7665,-74.0254,13,0
40.7248,-73.9941,21,1
40.7274,-73.9885,18,0
40.774,-73.9518,11,1
40.7473,-74.0082,21,0
40.7885,-73.9707,15,0
40.696999999999996,-73.9647,9,1
40.7643,-73.9667,6,0
40.7418,-73.9854,10,0
40.7255,-73.9456,7,0
40.7384,-73.9834,11,0
40.772,-73.9821,19,0
40.7658,-73.9698,17,0
40.7292,-73.9917,21,0
40.6449,-73.7823,9,0
40.7716,-73.9668,18,0
40.7311,-73.9963,11,0
40.7685,-73.8674,20,1
40.8624,-73.8645,17,0
40.7478,-73.987,2,0
40.7495,-73.9694,21,0
40.7919,-73.9652,7,0
40.7285,-73.9946,18,1
40.7217,-73.9945,21,0
40.7407,-73.9916,14,1
40.7812,-73.9596,9,0
40.7593,-73.9729,16,0
40.741,-74.0081,19,1
40.7368,-73.9786,17,0
40.7201,-73.9885,3,1
40.7392,-74.0009,13,0
40.7507,-73.9944,18,0
40.7901,-73.9752,14,0
40.7371,-73.99600000000001,16,0
40.7354,-74.0094,13,0
40.7155,-74.016,12,0
40.7525,-73.9674,18,0
40.7243,-73.983,6,0
40.7665,-73.9685,16,1
40.7661,-73.9816,8,0
40.7168,-73.9546,16,1
40.7228,-74.0045,8,0
40.7396,-73.98100000000001,16,0
40.7299,-73.98100000000001,21,0
40.7242,-74.0013,18,0
40.7032,-74.0114,22,0
40.7602,-73.9629,16,0
40.6972,-73.9949,18,0
40.7359,-73.9958,15,0
40.6633,-73.9428,14,1
40.7279,-73.9822,8,0
40.7701,-73.8653,8,0
40.7276,-73.9833,18,0
40.7122,-74.0083,18,0
40.6878,-74.1823,7,0
40.7635,-73.9818,14,0
40.8308,-73.9306,22,0
40.7262,-73.9873,17,1
40.7642,-73.9545,19,0
40.760999999999996,-73.9795,16,0
40.7507,-73.9821,17,0
40.7567,-73.9864,0,0
40.7835,-73.9732,6,0
40.7651,-73.9635,9,0
40.7493,-73.9939,16,0
40.6985,-73.8027,11,0
40.7535,-73.973,16,0
40.7198,-74.0051,23,0
40.6467,-73.7777,20,0
40.6876,-73.9549,21,1
40.7459,-73.9883,18,0
40.7558,-73.9792,18,0
40.6441,-73.7838,18,0
40.7738,-73.9459,10,1
40.7385,-73.9975,18,0
40.7253,-73.995,16,0
40.738,-73.9865,21,0
40.7058,-74.0098,18,0
40.7214,-73.9965,18,0
40.7418,-73.9758,17,0
40.7852,-73.9772,21,0
40.6458,-73.7766,4,0
40.7592,-73.9729,12,0
40.7168,-74.0138,16,1
40.7403,-74.0016,5,0
40.7402,-73.9885,9,1
40.714,-74.0145,17,0
40.7281,-74.0346,22,0
40.7564,-73.9838,20,0
40.7253,-73.9778,12,1
40.673,-73.9821,11,0
40.7029,-73.9906,12,0
40.7435,-73.9885,19,0
40.7193,-74.0095,21,0
40.7744,-73.8725,16,1
40.7054,-73.9333,19,0
40.7587,-73.9751,15,0
40.7225,-73.9975,23,0
40.6484,-73.7832,21,0
40.6808,-74.01,16,0
40.7251,-73.9781,0,1
40.7748,-73.9653,9,0
40.6487,-73.7832,14,0
40.7026,-73.9163,0,1
40.7427,-74.0378,19,0
40.7352,-74.0061,22,0
40.7677,-73.9684,13,0
40.7517,-73.9867,21,0
40.7273,-73.9978,15,0
40.7887,-73.9691,18,0
40.7459,-73.9883,17,0
40.7844,-73.9711,14,0
40.773,-73.8854,16,0
40.6889,-73.953,7,0
40.7135,-73.7882,13,1
40.7209,-73.9881,1,1
40.7665,-73.9688,17,1
40.7243,-73.9551,22,1
40.7048,-74.0097,15,0
40.7635,-73.9821,13,0
